Date,EF#(Fujita rating),State,Location,County,latitude,lng,longitude,Time,Path  Length Distance Miles,Path  Length Distance KM
01.01.2011,3,Mississippi,E of Durant ,Attala,33.04,89.91,-89.91,602,23.45,37.74
01.01.2011,1,Mississippi,Weir,Choctaw,33.26,89.3,-89.3,640,0.61,0.98
01-01-2011,1,Mississippi,ENE of Weir,Choctaw,33.28,89.24,-89.24,646,6.52,10.49
01-01-2011,1,Mississippi,NW of Starkville,Oktibbeha,33.44,88.84,-88.84,715,1.29,2.08
01-01-2011,2,Mississippi,SW of Gholson,"Kemper, Noxubee",32.9,88.77,-88.77,800,6.07,10
01.01.2011,3,Mississippi,E of Macon,Noxubee,33.06,88.46,-88.46,825,9.63,15.5
01-01-2011,1,Mississippi,Damascus area,Kemper,32.66,88.84,-88.84,856,11.06,17.8
01-09-2011,1,Texas,Robstown area,"Jim, Wells,Nueces",27.71,97.97,-97.97,925,23.3,37.5
01-17-2011,0,Florida,ESE of Christmas,Orange,28.29,80.51,-80.51,1603,0.2,0.32
01-25-2011,0,Florida,ESE of Royal,Sumter,28.52,82.01,-82.01,2135,0.9,1.4
01-25-2011,0,Florida,W of Myakka Head,Manatee,27.27,82.08,-82.08,2315,0.98,1.58
01-25-2011,0,Florida,E of Bucanan,Hardee,27.24,81.24,-81.24,2341,0.86,1.38
01-25-2011,0,Florida,SE of Ona,Hardee,27.27,81.53,-81.53,8,1.14,1.83
01-25-2011,0,Florida,Alva area,Lee,26.43,81.36,-81.36,0:40,0.32,0.51
01-25-2011,0,Florida,NW of Lstokpoga,Highlands,27.26,81.22,-81.22,109,0.93,1.5
01-25-2011,0,Florida,W of Boca Raton,Palm Beach,26.21,80.07,-80.07,350,0.2,0.32
02-01-2011,1,Texas ,SSE of Stewart ,Rusk,32.17,94.39,-94.39,1210,1,1.6
02-01-2011,0,Louisiana,N of Many,Sabine,31.38,93.29,-93.29,1424,6,9.7
02-01-2011,0,Alabama,ESE of Abbeville,Henry,31.33,85.11,-85.11,206,2,3.2
02-11-2011,0,Hawaii,Kihei area,Maui,20.46,156.27,-156.27,415,0.01,0.016
02-24-2011,1,Arkansas,W of Reform,"Saline, Perry, Pulaski",34.36,92.52,-92.52,2153,11.09,17.85
02-24-2011,1,Arkansas,NNE of Scott,Lonoke,34.43,92.04,-92.04,2256,2.32,3.73
02-24-2011,1,Arkansas,SE of Lonoke,Lonoke,34.46,91.54,-91.54,2303,1.57,2.53
02-24-2011,1,Louisiana,Kilbourne area,West Carroll,32.86,91.39,-91.39,125,6,9.7
02-24-2011,2,Mississippi,Grace area,"Issaquena, Sharkey",33,90.96,-90.96,150,6.5,10.5
02-24-2011,0,Kentucky,S of Hickman,Fulton,36.33,89.1,-89.1,15,1,1.6
02-24-2011,1,Kentucky,NW of Riceville,"Fulton, Hickman, Graves",36.31,88.53,-88.53,32,7,11
02-24-2011,2,Kentucky,NE of Gracey,Christian,36.54,87.37,-87.37,150,6,9.7
02-24-2011,1,Kentucky,W of Glasgow,Barren,37,86.12,-86.12,410,1,1.6
02-24-2011,2,Tennessee,NW of Parsons,"Henderson, Decatur",35.39,88.14,-88.14,230,12.2,19.6
02-24-2011,1,Tennessee,W of Clarksville,Montgomery,36.53,87.45,-87.45,305,2.3,3.7
02-24-2011,2,Tennessee,Gladeville area,Wilson,36.07,86.25,-86.25,414,8,13
02-24-2011,2,Tennessee,Antioch area,"Davidson, Wilson",36.05,86.37,-86.37,502,7.5,12.1
02-24-2011,0,Alabama,NW of Hackleburg,Marion,34.28,87.85,-87.85,418,0.5,0.8
02-24-2011,0,Alabama,NNW of West Point,Cullman,34.3,86.97,-86.97,510,0.25,0.4
02-25-2011,0,California,Mather Air Force Base,Sacramento,38.55,121.28,-121.28,2305,0.25,0.4
02-27-2011,0,Oklahoma,NNW of Grainola,Osage,36.59,96.4,-96.4,21,2,3.2
02-27-2012,0,Kansas,ESE of Maple City,Cowley,37,96.37,-96.37,23,1,1.6
02-27-2013,0,Kansas,S of Cedar Vale,Chautauqua,37.01,96.28,-96.28,23,1,1.6
02-27-2014,1,Missouri,SSE of Shelbina,Shelby,39.4,92.02,-92.02,45,1,1.6
02-27-2015,0,Missouri,N of North Fork,"Monroe, Shelby",39.39,92.02,-92.02,48,2,3.2
02-27-2016,0,Missouri,N of Bowling Green,Pike,39.28,91.12,-91.12,205,2.3,3.7
02-27-2017,0,Missouri,E of Frankford,Pike,39.3,91.17,-91.17,405,1.4,2.3
02-27-2018,1,Missouri,NE of Freeburg,Osage,38.24,91.49,-91.49,415,0.5,0.8
02-27-2019,1,Missouri,SW of Stony Hill,Gasconade,38.3,91.24,-91.24,433,0.75,1.21
02-27-2020,1,Missouri,W of Augusta,"St. Charles, Franklin",38.34,90.56,-90.56,453,9.35,15.05
02-27-2021,1,Missouri,SW of Centaur,St. Louis,38.37,90.43,-90.43,503,0.15,0.24
02-27-2022,1,Missouri,S of Centaur,St. Louis,38.36,90.42,-90.42,504,0.36,0.58
02-27-2023,1,Missouri,SE of Centaur,St. Louis,38.37,90.41,-90.41,505,0.9,1.4
02-27-2024,1,Missouri,SSE of  Centaur,St. Louis,38.36,90.41,-90.41,506,0.75,1.21
02-27-2025,1,Missouri,ESE of Centaur,St. Louis,38.37,90.41,-90.41,510,0.6,0.97
02-27-2026,1,Illinois,Granite City area,Madison,38.71,90.13,-90.13,535,3,4.8
02-27-2027,1,Illinois,N of Glen Carbon,Madison,38.46,89.38,-89.38,539,2.4,3.9
02-27-2028,1,Illinois,WSW of Kuhn,Madison,38.46,89.54,-89.54,539,2,3.2
02-27-2029,2,Illinois,Troy area,Madison,38.43,89.55,-89.55,545,2.7,4.3
02-28-2011,0,Illinois,Okawville,Washington,38.43,89.55,-89.55,605,2.8,4.5
02-28-2012,2,Illinois,E of Okawville,Washington,38.45,89.33,-89.33,618,2.4,3.9
02-28-2013,2,Illinois,S of Brownstown,Fayette,38.87,89.09,-89.09,620,1.4,2.3
02-28-2014,2,Illinois,SW of Altamont,Fayette,38.95,88.82,-88.82,632,0.099,0.16
02-28-2015,1,Illinois,SE of St. Elmo,Fayette,39.01,88.85,-88.85,635,0.068,0.11
02-28-2016,1,Illinois,N of Pocahontas,Bond,38.88,89.48,-89.48,650,0.168,0.27
02-28-2017,1,Indiana,W of Ingalls,Madison,39.96,85.82,-85.82,6:20,0.5,0.8
02-28-2018,1,Indiana,Owensville area,Gibson,38.27,87.8,-87.8,7:43,22,35
02-28-2019,2,Indiana,Oakland Ciry area,"Gibson, Pike",38.34,87.54,-87.54,7:51,19.25,30.98
02-28-2020,0,Indiana,Otwell area,Pike,38.43,87.12,-87.12,8:10,2,3.2
02-28-2021,2,Indiana,Celestine area,Dubois,38.43,86.72,-86.72,8:19,15.7,25.3
02-28-2022,1,Indiana,Utica area,"Clark, Jefferson(KY)",38.33,85.66,-85.66,9:29,3,4.8
02-28-2023,3,Kentucky,SE of Eminence,Henry,38.21,85.09,-85.09,9:59,2.3,3.7
02-28-2024,1,Kentucky,S of Stanford,Lincoln,37.31,84.4,-84.4,11:49,9,14
02-28-2025,1,Kentucky,N of Gillmore,Wolfe,37.45,83.22,-83.22,12:37,0.25,0.4
02-28-2026,1,Ohio,SSE of Millersport,Fairfield,39.86,82.53,-82.53,11:00,5,8
