Date,EF#(Fujita rating),State,Location,County,latitude,lng,longitude,Time,Path  Length Distance Miles,Path  Length Distance KM,totaldate,totalstates
01-01-2011,3,Mississippi,E of Durant ,Attala,33.04,89.91,-89.91,6:02,23.45,37.74,7,13
01-01-2011,1,Mississippi,Weir,Choctaw,33.26,89.3,-89.3,6:40,0.61,0.98,,
01-01-2011,1,Mississippi,ENE of Weir,Choctaw,33.28,89.24,-89.24,6:46,6.52,10.49,,
01-01-2011,1,Mississippi,NW of Starkville,Oktibbeha,33.44,88.84,-88.84,7:15,1.29,2.08,,
01-01-2011,2,Mississippi,SW of Gholson,"Kemper, Noxubee",32.9,88.77,-88.77,8:00,6.07,10,,
01-01-2011,3,Mississippi,E of Macon,Noxubee,33.06,88.46,-88.46,8:25,9.63,15.5,,
01-01-2011,1,Mississippi,Damascus area,Kemper,32.66,88.84,-88.84,8:56,11.06,17.8,,
01-09-2011,1,Texas,Robstown area,"Jim, Wells,Nueces",27.71,97.97,-97.97,9:25,23.3,37.5,1,4
01-17-2011,0,Florida,ESE of Christmas,Orange,28.29,80.51,-80.51,16:03,0.2,0.32,1,8
01-25-2011,0,Florida,ESE of Royal,Sumter,28.52,82.01,-82.01,21:35,0.9,1.4,7,
01-25-2011,0,Florida,W of Myakka Head,Manatee,27.27,82.08,-82.08,23:15,0.98,1.58,,
01-25-2011,0,Florida,E of Bucanan,Hardee,27.24,81.24,-81.24,23:41,0.86,1.38,,
01-25-2011,0,Florida,SE of Ona,Hardee,27.27,81.53,-81.53,8:00,1.14,1.83,,
01-25-2011,0,Florida,Alva area,Lee,26.43,81.36,-81.36,0:40,0.32,0.51,,
01-25-2011,0,Florida,NW of Lstokpoga,Highlands,27.26,81.22,-81.22,1:09,0.93,1.5,,
01-25-2011,0,Florida,W of Boca Raton,Palm Beach,26.21,80.07,-80.07,3:50,0.2,0.32,,
02-01-2011,1,Texas ,SSE of Stewart ,Rusk,32.17,94.39,-94.39,12:10,1,1.6,3,
02-01-2011,0,Louisiana,N of Many,Sabine,31.38,93.29,-93.29,14:24,6,9.7,,12
02-01-2011,0,Alabama,ESE of Abbeville,Henry,31.33,85.11,-85.11,2:06,2,3.2,,8
02-11-2011,0,Hawaii,Kihei area,Maui,20.46,156.27,-156.27,4:15,0.01,0.016,1,1
02-24-2011,1,Arkansas,W of Reform,"Saline, Perry, Pulaski",34.36,92.52,-92.52,21:53,11.09,17.85,15,3
02-24-2011,1,Arkansas,NNE of Scott,Lonoke,34.43,92.04,-92.04,22:56,2.32,3.73,,
02-24-2011,1,Arkansas,SE of Lonoke,Lonoke,34.46,91.54,-91.54,23:03,1.57,2.53,,
02-24-2011,1,Louisiana,Kilbourne area,West Carroll,32.86,91.39,-91.39,1:25,6,9.7,,
02-24-2011,2,Mississippi,Grace area,"Issaquena, Sharkey",33,90.96,-90.96,1:50,6.5,10.5,,
02-24-2011,0,Kentucky,S of Hickman,Fulton,36.33,89.1,-89.1,0:15,1,1.6,,7
02-24-2011,1,Kentucky,NW of Riceville,"Fulton, Hickman, Graves",36.31,88.53,-88.53,0:32,7,11,,
02-24-2011,2,Kentucky,NE of Gracey,Christian,36.54,87.37,-87.37,1:50,6,9.7,,
02-24-2011,1,Kentucky,W of Glasgow,Barren,37,86.12,-86.12,4:10,1,1.6,,
02-24-2011,2,Tennessee,NW of Parsons,"Henderson, Decatur",35.39,88.14,-88.14,2:30,12.2,19.6,,8
02-24-2011,1,Tennessee,W of Clarksville,Montgomery,36.53,87.45,-87.45,3:05,2.3,3.7,,
02-24-2011,2,Tennessee,Gladeville area,Wilson,36.07,86.25,-86.25,4:14,8,13,,
02-24-2011,2,Tennessee,Antioch area,"Davidson, Wilson",36.05,86.37,-86.37,5:02,7.5,12.1,,
02-24-2011,0,Alabama,NW of Hackleburg,Marion,34.28,87.85,-87.85,4:18,0.5,0.8,,
02-24-2011,0,Alabama,NNW of West Point,Cullman,34.3,86.97,-86.97,5:10,0.25,0.4,,
02-25-2011,0,California,Mather Air Force Base,Sacramento,38.55,121.28,-121.28,23:05,0.25,0.4,1,1
02-27-2011,0,Oklahoma,NNW of Grainola,Osage,36.59,96.4,-96.4,0:21,2,3.2,19,1
02-27-2011,0,Kansas,ESE of Maple City,Cowley,37,96.37,-96.37,0:23,1,1.6,,2
